timestamp,value
0,2.275
1,2.275
2,2.2625
3,2.25
4,2.225
5,2.2125
6,2.1875
7,2.1625
8,2.1375
9,2.1125
10,2.0875
11,2.0625
12,2.025
13,2
14,1.9625
15,1.925
16,1.9
17,1.8625
18,1.825
19,1.775
20,1.75
21,1.7
22,1.6625
23,1.625
24,1.5875
25,1.55
26,1.5125
27,1.4625
28,1.425
29,1.3875
30,1.35
31,1.325
32,1.2875
33,1.25
34,1.225
35,1.1875
36,1.1625
37,1.1375
38,1.1125
39,1.0875
40,1.0625
41,1.05
42,1.0375
43,1.025
44,1.0125
45,1
46,1
47,1
48,1.015
49,1.025
50,1.025
51,1.025
52,1.0375
53,1.05
54,1.0625
55,1.0875
56,1.1125
57,1.125
58,1.15
59,1.175
60,1.2125
61,1.25
62,1.275
63,1.3125
64,1.35
65,1.3875
66,1.4125
67,1.45
68,1.4875
69,1.525
70,1.5625
71,1.6
72,1.6375
73,1.6625
74,1.7
75,1.7375
76,1.775
77,1.8125
78,1.8375
79,1.875
80,1.9125
81,1.9375
82,1.95
83,1.9875
84,2.0125
85,2.0375
86,2.0625
87,2.0875
88,2.1
89,2.125
90,2.125
91,2.15
92,2.1625
93,2.175
94,2.175
95,2.175
96,2.2
97,2.2
98,2.2
99,2.2
100,2.2
101,2.175
102,2.1875
103,2.175
104,2.1625
105,2.15
106,2.1375
107,2.125
108,2.1
109,2.0875
110,2.075
111,2.0625
112,2.0375
113,2.0125
114,1.975
115,1.95
116,1.925
117,1.9
118,1.8625
119,1.825
120,1.7875
121,1.7625
122,1.7375
123,1.7
124,1.6625
125,1.6125
126,1.5875
127,1.5625
128,1.525
129,1.4875
130,1.4375
131,1.4125
132,1.3875
133,1.35
134,1.3125
135,1.275
136,1.25
137,1.225
138,1.1875
139,1.1625
140,1.1375
141,1.1125
142,1.1
143,1.075
144,1.05
145,1.0375
146,1.025
147,1.0125
148,1.0125
149,1.0125
150,1
151,1
152,1
153,1.0125
154,1.0125
155,1.025
156,1.0375
157,1.05
158,1.0625
159,1.0875
160,1.1125
161,1.125
162,1.15
163,1.175
164,1.2
165,1.2375
166,1.2625
167,1.2875
168,1.325
169,1.35
170,1.3875
171,1.4125
172,1.45
173,1.4875
174,1.5125
175,1.55
176,1.575
177,1.625
178,1.65
179,1.6875
180,1.7125
181,1.75
182,1.775
183,1.8
184,1.8375
185,1.8625
186,1.8875
187,1.9125
188,1.9375
189,1.95
190,1.975
191,1.9875
192,2.0125
193,2.025
194,2.0375
195,2.05
196,2.0625
197,2.0625
198,2.075
199,2.075
200,2.075
201,2.075
202,2.075
203,2.0875
204,2.075
205,2.075
206,2.0625
207,2.0625
208,2.05
209,2.0375
210,2.025
211,2
212,1.9875
213,1.9625
214,1.95
215,1.925
216,1.9
217,1.8875
218,1.85
219,1.825
220,1.8
221,1.775
222,1.75
223,1.7125
224,1.6875
225,1.65
226,1.625
227,1.5875
228,1.55
229,1.525
230,1.4875
231,1.45
232,1.425
233,1.3875
234,1.3625
235,1.325
236,1.3
237,1.2625
238,1.2375
239,1.2125
240,1.1875
241,1.1625
242,1.1375
243,1.1125
244,1.0875
245,1.075
246,1.0625
247,1.0375
248,1.0375
249,1.025
250,1.0125
251,1
252,1.0125
253,1
254,1.0125
255,1.0125
256,1.0125
257,1.0125
258,1.025
259,1.0375
260,1.05
261,1.0625
262,1.0875
263,1.1
264,1.125
265,1.15
266,1.1625
267,1.1875
268,1.225
269,1.25
270,1.275
271,1.3
272,1.325
273,1.3625
274,1.3875
275,1.425
276,1.4625
277,1.4875
278,1.5125
279,1.55
280,1.575
281,1.6125
282,1.6375
283,1.6625
284,1.6875
285,1.725
286,1.7375
287,1.775
288,1.8
289,1.8125
290,1.8375
291,1.8625
292,1.875
293,1.8875
294,1.9125
295,1.925
296,1.9375
297,1.95
298,1.95
299,1.9625
300,1.975
301,1.975
302,1.975
303,1.9875
304,1.9875
305,1.975
306,1.975
307,1.975
308,1.975
309,1.9625
310,1.95
311,1.9375
312,1.925
313,1.9125
314,1.9
315,1.8875
316,1.8625
317,1.85
318,1.825
319,1.8
320,1.7875
321,1.7625
322,1.7375
323,1.7
