timestamp,value
1540796400,-2.0375
1540800000,-2.025
1540803600,-2.025
1540807200,-2.025
1540810800,-2.025
1540814400,-2.0125
1540818000,-2.0125
1540821600,-2.0125
1540825200,-2
1540828800,-2
1540832400,-1.9875
1540836000,-1.975
1540839600,-1.975
1540843200,-1.9625
1540846800,-1.95
1540850400,-1.9375
1540854000,-1.925
1540857600,-1.9
1540861200,-1.8875
1540864800,-1.875
1540868400,-1.85
1540872000,-1.825
1540875600,-1.8
1540879200,-1.775
1540882800,-1.7375
1540886400,-1.7125
1540890000,-1.675
1540893600,-1.6375
1540897200,-1.6
1540900800,-1.5625
1540904400,-1.525
1540908000,-1.475
1540911600,-1.425
1540915200,-1.375
1540918800,-1.325
1540922400,-1.25
1540926000,-1.2
1540929600,-1.1375
1540933200,-1.075
1540936800,-1
1540940400,-0.9375
1540944000,-0.8625
1540947600,-0.8
1540951200,-0.7125
1540954800,-0.6375
1540958400,-0.5625
1540962000,-0.475
1540965600,-0.4
1540969200,-0.3125
1540972800,-0.225
1540976400,-0.1375
1540980000,-0.1125
1540983600,0.075
1540987200,0.125
1540990800,0.2125
1540994400,0.3
1540998000,0.3625
1541001600,0.45
1541005200,0.5375
1541008800,0.6125
1541012400,0.6875
1541016000,0.75
1541019600,0.8375
1541023200,0.9
1541026800,0.9625
1541030400,1.025
1541034000,1.1
1541037600,1.1625
1541041200,1.225
1541044800,1.275
1541048400,1.3375
1541052000,1.375
1541055600,1.4375
1541059200,1.4875
1541062800,1.5125
1541066400,1.575
1541070000,1.6
1541073600,1.6375
1541077200,1.675
1541080800,1.7
1541084400,1.75
1541088000,1.75
1541091600,1.7875
1541095200,1.825
1541098800,1.85
1541102400,1.8625
1541106000,1.875
1541109600,1.8875
1541113200,1.8875
1541116800,1.9125
1541120400,1.9375
1541124000,1.925
1541127600,1.9375
1541131200,1.9375
1541134800,1.975
1541138400,1.95
1541142000,1.9625
1541145600,1.9625
1541149200,1.9625
1541152800,1.975
1541156400,1.975
1541160000,1.975
1541163600,1.9875
1541167200,1.975
1541170800,1.975
1541174400,1.9875
1541178000,1.975
1541181600,1.975
1541185200,1.975
1541188800,1.975
1541192400,1.975
